İL ADI 	İLÇE ADI 	YURT ADI 	BLOK 	İŞLETME TÜRÜ TOPLAM
KAPASİTE
İŞLETMENİN
HİZMET VERECEĞİ
KAPASİTE
ADANA 	CEYHAN 	CEYHAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	562 	562
ADANA 	KOZAN 	KOZAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	524 	524
ADANA 	SARIÇAM 	MAHMUT SAMİ RAMAZANOĞLU YURDU 	MERKEZİ 	KUAFÖR 	1144 	1144
ADANA 	SARIÇAM 	KUT'UL AMARE YURDU 	A 	LOKANTA-KANTİN 	516 	228
ADANA 	SARIÇAM 	KUT'UL AMARE YURDU 	B 	LOKANTA-KANTİN 	516 	288
ADANA 	SEYHAN 	SÜMER YURDU 	MERKEZİ 	LOKANTA-KANTİN 	613 	613
ADANA 	SARIÇAM 	MAHMUT SAMİ RAMAZANOĞLU YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1144 	1144
ADIYAMAN 	MERKEZ 	ADIYAMAN KIZ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1566 	1566
ADIYAMAN 	KAHTA 	KAHTA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	394 	394
ADIYAMAN 	MERKEZ 	SAFVAN BİN MUATTAL YURDU 	MERKEZİ 	LOKANTA-KANTİN 	2272 	2272
ADIYAMAN 	MERKEZ 	VEYSEL KARANİ YURDU 	A 	BERBER 	1588 	804
ADIYAMAN 	MERKEZ 	YEDİYAMAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	990 	990
AFYONKARAHİSAR 	BAYAT 	BAYAT YURDU 	MERKEZİ 	LOKANTA-KANTİN 	272 	272
AFYONKARAHİSAR 	DİNAR 	DİNAR YURDU 	MERKEZİ 	LOKANTA-KANTİN 	248 	248
AFYONKARAHİSAR 	EMİRDAĞ 	EMİRDAĞ KIZ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	536 	536
AFYONKARAHİSAR 	SANDIKLI 	ESMA SULTAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	312 	312
AFYONKARAHİSAR SULTANDAĞI 	SULTANDAĞI YURDU 	MERKEZİ 	LOKANTA-KANTİN 	308 	308

-- 1 of 19 --

AFYONKARAHİSAR 	ŞUHUT 	ŞUHUT YURDU 	MERKEZİ 	LOKANTA-KANTİN 	349 	349
AFYONKARAHİSAR 	MERKEZ 	YENİ AÇILACAK YURT 	MERKEZİ 	LOKANTA-KANTİN 	750 	750
AĞRI 	MERKEZ 	ABDURRAHİM ARVASİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	840 	840
AĞRI 	MERKEZ 	İSHAK PAŞA YURDU 	A 	LOKANTA-KANTİN 	950 	500
AĞRI 	MERKEZ 	PATNOS YURDU 	MERKEZİ 	LOKANTA-KANTİN 	442 	442
AĞRI 	MERKEZ 	ÜMMÜ EYYÜB YURDU 	A 	LOKANTA-KANTİN 	1033 	504
AKSARAY 	MERKEZ 	GÜLŞAH HATUN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	703 	703
AKSARAY 	MERKEZ 	MAHPERİ HATUN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1239 	1239
AKSARAY 	GÜZELYURT 	GÜZELYURT YURDU 	MERKEZİ 	LOKANTA-KANTİN 	400 	400
AMASYA 	MERKEZ 	AMASYA YURDU 	D-E-F-G 	LOKANTA-KANTİN 	1812 	1048
AMASYA 	MERKEZ 	HÜŞNÜŞAH HATUN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1064 	1064
AMASYA 	MERZİFON 	MERZİFON YURDU VE KARA MUSTAFA PAŞA YURDU BİRLİKTE 	MERKEZİ 	LOKANTA-KANTİN 	483 	483
AMASYA 	SULUOVA 	SULUOVA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	75 	75
ANKARA 	MAMAK 	ATATURK YURDU 	MERKEZİ 	KUAFÖR 	1840 	1840
ANKARA 	ÇANKAYA 	CEBECİ ERKEK YURDU 	MERKEZİ 	LOKANTA-KANTİN 	309 	309
